Wyniki z wykonanych testów nie wykazują różnic między szybkością
działania kompilacji na różnych trybach optymalizacji (-O0 ... -Os)

Powtarzając wiele razy pomiary uzyskiwane wyniki nieco się różniły,
co wynika ze sposobu działania systemu operacyjnego i różnego przydzielenia
czasu procesora. Prawdopodobnie właśnie przez to nie można zauważyć różnic.

test_static_optimize-O0
Measurement            Real[s]      Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3    288519821      0.00      0.00      1.23      2.01
medium_search                0    799101344      0.00      0.00      0.31      0.49
small_search                 0     75188807      0.00      0.00      0.03      0.04
big_store                    0      2515735      0.00      0.00      0.00      0.00
medium_store                 0      2452896      0.00      0.00      0.00      0.00
small_store                  0        27131      0.00      0.00      0.00      0.00
big_data_delete              0       253098      0.00      0.00      0.00      0.00
medium_data_delete           0       225127      0.00      0.00      0.00      0.00
small_data_delete            0         1661      0.00      0.00      0.00      0.00
data_block_test              4    160074519      0.00      0.01      1.52      2.51

test_static_optimize-O1
Measurement            Real[s]      Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3    209902540      0.00      0.00      1.28      1.89
medium_search                0    808573058      0.00      0.00      0.31      0.48
small_search                 0     78886569      0.00      0.00      0.03      0.04
big_store                    0      2529034      0.00      0.00      0.00      0.00
medium_store                 0      2426404      0.00      0.00      0.00      0.00
small_store                  0        28398      0.00      0.00      0.00      0.00
big_data_delete              0       271121      0.00      0.00      0.00      0.00
medium_data_delete           0       240458      0.00      0.00      0.00      0.00
small_data_delete            0         1270      0.00      0.00      0.00      0.00
data_block_test              4    144045488      0.01      0.00      1.48      2.53

test_static_optimize-O2
Measurement            Real[s]      Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3    241143927      0.00      0.00      1.21      1.97
medium_search                0    803543793      0.00      0.00      0.31      0.48
small_search                 0     76061805      0.00      0.00      0.02      0.04
big_store                    0      2440840      0.00      0.00      0.00      0.00
medium_store                 0      2368144      0.00      0.00      0.00      0.00
small_store                  0        26723      0.00      0.00      0.00      0.00
big_data_delete              0       297253      0.00      0.00      0.00      0.00
medium_data_delete           0       240074      0.00      0.00      0.00      0.00
small_data_delete            0         1335      0.00      0.00      0.00      0.00
data_block_test              4     84887614      0.00      0.01      1.51      2.52

test_static_optimize-O3
Measurement            Real[s]      Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3    209500345      0.00      0.00      1.24      1.93
medium_search                0    799830810      0.00      0.00      0.24      0.55
small_search                 0     79269984      0.00      0.00      0.04      0.03
big_store                    0      2427521      0.00      0.00      0.00      0.00
medium_store                 0      2676889      0.00      0.00      0.00      0.00
small_store                  0        25937      0.00      0.00      0.00      0.00
big_data_delete              0       254029      0.00      0.00      0.00      0.00
medium_data_delete           0       310810      0.00      0.00      0.00      0.00
small_data_delete            0         1625      0.00      0.00      0.00      0.00
data_block_test              4     73701914      0.00      0.01      1.56      2.46

test_static_optimize-Os
Measurement            Real[s]      Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3    245020164      0.00      0.00      1.28      1.92
