Wyniki z wykonanych testow nie wykazuja roznic miedzy szybkoscia
dzialania kompilacji na roznych trybach optymalizacji (-O0 ... -Os)

Powtarzajac wiele razy pomiary uzyskiwane wyniki nieco sie roznily,
co wynika ze sposobu dzialania systemu operacyjnego i roznego przydzielenia
czasu procesora. Prawdopodobnie wlasnie przez to nie mozna zauwazyc roznic.

test_static_optimize-O0
Measurement            Real[s]   Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3 231174997      0.00      0.00      1.23      1.96
medium_search                0 807877875      0.00      0.00      0.28      0.52
small_search                 0 070078776      0.00      0.00      0.03      0.03
big_store                    0 062931738      0.00      0.06      0.00      0.00
medium_store                 0 021226175      0.00      0.02      0.00      0.00
small_store                  0 000907274      0.00      0.00      0.00      0.00
big_data_delete              0 004196664      0.00      0.01      0.00      0.00
medium_data_delete           0 000883907      0.00      0.00      0.00      0.00
small_data_delete            0 000091143      0.00      0.00      0.00      0.00
data_block_test              0 164904120      0.00      0.16      0.00      0.00

test_static_optimize-O1
Measurement            Real[s]   Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3 208786938      0.00      0.00      1.17      1.97
medium_search                0 818798004      0.00      0.00      0.28      0.50
small_search                 0 069587316      0.00      0.00      0.04      0.04
big_store                    0 056670681      0.00      0.05      0.00      0.00
medium_store                 0 009220075      0.00      0.01      0.00      0.00
small_store                  0 000885177      0.00      0.00      0.00      0.00
big_data_delete              0 004132117      0.00      0.01      0.00      0.00
medium_data_delete           0 000880613      0.00      0.00      0.00      0.00
small_data_delete            0 000091363      0.00      0.00      0.00      0.00
data_block_test              0 146244647      0.00      0.15      0.00      0.00

test_static_optimize-O2
Measurement            Real[s]   Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3 165776127      0.00      0.00      1.13      1.99
medium_search                0 822765643      0.00      0.00      0.33      0.47
small_search                 0 069814428      0.00      0.00      0.03      0.05
big_store                    0 064499293      0.00      0.06      0.00      0.00
medium_store                 0 009266191      0.00      0.01      0.00      0.00
small_store                  0 000886815      0.00      0.00      0.00      0.00
big_data_delete              0 004148427      0.00      0.01      0.00      0.00
medium_data_delete           0 000884017      0.00      0.00      0.00      0.00
small_data_delete            0 000095829      0.00      0.00      0.00      0.00
data_block_test              0 167001455      0.00      0.16      0.00      0.00

test_static_optimize-O3
Measurement            Real[s]   Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3 218494353      0.00      0.00      1.19      2.00
medium_search                0 802794682      0.00      0.00      0.29      0.50
small_search                 0 069987094      0.00      0.00      0.04      0.02
big_store                    0 061552068      0.00      0.06      0.00      0.00
medium_store                 0 009147140      0.00      0.01      0.00      0.00
small_store                  0 000900565      0.00      0.00      0.00      0.00
big_data_delete              0 004107075      0.00      0.00      0.00      0.00
medium_data_delete           0 000882571      0.00      0.00      0.00      0.00
small_data_delete            0 000090114      0.00      0.00      0.00      0.00
data_block_test              0 164633425      0.00      0.16      0.00      0.00

test_static_optimize-Os
Measurement            Real[s]   Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3 185466025      0.00      0.00      1.16      1.99
medium_search                0 802386473      0.00      0.00      0.28      0.51
small_search                 0 069765524      0.00      0.00      0.03      0.04
big_store                    0 055100695      0.00      0.05      0.00      0.00
medium_store                 0 009191234      0.00      0.01      0.00      0.00
small_store                  0 000915412      0.00      0.00      0.00      0.00
